,Countries and areas,Year,Indicator,Value
0,Afghanistan,1990,Under-five mortality rate,178
1,Albania,1990,Under-five mortality rate,41
2,Algeria,1990,Under-five mortality rate,52
3,Andorra,1990,Under-five mortality rate,13
4,Angola,1990,Under-five mortality rate,224
5,Anguilla,1990,Under-five mortality rate,17
6,Antigua and Barbuda,1990,Under-five mortality rate,14
7,Argentina,1990,Under-five mortality rate,29
8,Armenia,1990,Under-five mortality rate,49
9,Australia,1990,Under-five mortality rate,9
10,Austria,1990,Under-five mortality rate,10
11,Azerbaijan,1990,Under-five mortality rate,95
12,Bahamas,1990,Under-five mortality rate,23
13,Bahrain,1990,Under-five mortality rate,23
14,Bangladesh,1990,Under-five mortality rate,146
15,Barbados,1990,Under-five mortality rate,18
16,Belarus,1990,Under-five mortality rate,15
17,Belgium,1990,Under-five mortality rate,10
18,Belize,1990,Under-five mortality rate,38
19,Benin,1990,Under-five mortality rate,173
20,Bhutan,1990,Under-five mortality rate,127
21,Bolivia (Plurinational State of),1990,Under-five mortality rate,121
22,Bosnia and Herzegovina,1990,Under-five mortality rate,18
23,Botswana,1990,Under-five mortality rate,45
24,Brazil,1990,Under-five mortality rate,63
25,British Virgin Islands,1990,Under-five mortality rate,19
26,Brunei Darussalam,1990,Under-five mortality rate,13
27,Bulgaria,1990,Under-five mortality rate,18
28,Burkina Faso,1990,Under-five mortality rate,199
29,Burundi,1990,Under-five mortality rate,170
30,Cabo Verde,1990,Under-five mortality rate,60
31,Cambodia,1990,Under-five mortality rate,116
32,Cameroon,1990,Under-five mortality rate,136
33,Canada,1990,Under-five mortality rate,8
34,Central African Republic,1990,Under-five mortality rate,177
35,Chad,1990,Under-five mortality rate,212
36,Chile,1990,Under-five mortality rate,19
37,China,1990,Under-five mortality rate,54
38,Colombia,1990,Under-five mortality rate,36
39,Comoros,1990,Under-five mortality rate,126
40,Congo,1990,Under-five mortality rate,91
41,Cook Islands,1990,Under-five mortality rate,24
42,Costa Rica,1990,Under-five mortality rate,17
43,Cte d'Ivoire,1990,Under-five mortality rate,153
44,Croatia,1990,Under-five mortality rate,13
45,Cuba,1990,Under-five mortality rate,14
46,Cyprus,1990,Under-five mortality rate,11
47,Czechia,1990,Under-five mortality rate,12
48,Democratic People's Republic of Korea,1990,Under-five mortality rate,43
49,Democratic Republic of the Congo,1990,Under-five mortality rate,186
50,Denmark,1990,Under-five mortality rate,9
51,Djibouti,1990,Under-five mortality rate,118
52,Dominica,1990,Under-five mortality rate,16
53,Dominican Republic,1990,Under-five mortality rate,60
54,Ecuador,1990,Under-five mortality rate,54
55,Egypt,1990,Under-five mortality rate,86
56,El Salvador,1990,Under-five mortality rate,60
57,Equatorial Guinea,1990,Under-five mortality rate,179
58,Eritrea,1990,Under-five mortality rate,153
59,Estonia,1990,Under-five mortality rate,18
60,Eswatini,1990,Under-five mortality rate,68
61,Ethiopia,1990,Under-five mortality rate,201
62,Fiji,1990,Under-five mortality rate,29
63,Finland,1990,Under-five mortality rate,7
64,France,1990,Under-five mortality rate,9
65,Gabon,1990,Under-five mortality rate,92
66,Gambia,1990,Under-five mortality rate,167
67,Georgia,1990,Under-five mortality rate,48
68,Germany,1990,Under-five mortality rate,9
69,Ghana,1990,Under-five mortality rate,128
70,Greece,1990,Under-five mortality rate,10
71,Grenada,1990,Under-five mortality rate,22
72,Guatemala,1990,Under-five mortality rate,80
73,Guinea,1990,Under-five mortality rate,233
74,Guinea-Bissau,1990,Under-five mortality rate,223
75,Guyana,1990,Under-five mortality rate,61
76,Haiti,1990,Under-five mortality rate,145
77,Holy See,1990,Under-five mortality rate,0
78,Honduras,1990,Under-five mortality rate,58
79,Hungary,1990,Under-five mortality rate,17
80,Iceland,1990,Under-five mortality rate,6
81,India,1990,Under-five mortality rate,127
82,Indonesia,1990,Under-five mortality rate,84
83,Iran (Islamic Republic of),1990,Under-five mortality rate,57
84,Iraq,1990,Under-five mortality rate,54
85,Ireland,1990,Under-five mortality rate,9
86,Israel,1990,Under-five mortality rate,12
87,Italy,1990,Under-five mortality rate,10
88,Jamaica,1990,Under-five mortality rate,28
89,Japan,1990,Under-five mortality rate,6
90,Jordan,1990,Under-five mortality rate,36
91,Kazakhstan,1990,Under-five mortality rate,52
92,Kenya,1990,Under-five mortality rate,102
93,Kiribati,1990,Under-five mortality rate,92
94,Kuwait,1990,Under-five mortality rate,18
95,Kyrgyzstan,1990,Under-five mortality rate,65
96,Lao People's Democratic Republic,1990,Under-five mortality rate,154
97,Latvia,1990,Under-five mortality rate,17
98,Lebanon,1990,Under-five mortality rate,32
99,Lesotho,1990,Under-five mortality rate,84
100,Liberia,1990,Under-five mortality rate,264
101,Libya,1990,Under-five mortality rate,42
102,Liechtenstein,1990,Under-five mortality rate,0
103,Lithuania,1990,Under-five mortality rate,15
104,Luxembourg,1990,Under-five mortality rate,9
105,Madagascar,1990,Under-five mortality rate,156
106,Malawi,1990,Under-five mortality rate,245
107,Malaysia,1990,Under-five mortality rate,17
108,Maldives,1990,Under-five mortality rate,86
109,Mali,1990,Under-five mortality rate,231
110,Malta,1990,Under-five mortality rate,11
111,Marshall Islands,1990,Under-five mortality rate,47
112,Mauritania,1990,Under-five mortality rate,117
113,Mauritius,1990,Under-five mortality rate,23
114,Mexico,1990,Under-five mortality rate,45
115,Micronesia (Federated States of),1990,Under-five mortality rate,49
116,Monaco,1990,Under-five mortality rate,8
117,Mongolia,1990,Under-five mortality rate,107
118,Montenegro,1990,Under-five mortality rate,16
119,Montserrat,1990,Under-five mortality rate,17
120,Morocco,1990,Under-five mortality rate,81
121,Mozambique,1990,Under-five mortality rate,246
122,Myanmar,1990,Under-five mortality rate,115
123,Namibia,1990,Under-five mortality rate,73
124,Nauru,1990,Under-five mortality rate,67
125,Nepal,1990,Under-five mortality rate,139
126,Netherlands,1990,Under-five mortality rate,8
127,New Zealand,1990,Under-five mortality rate,11
128,Nicaragua,1990,Under-five mortality rate,67
129,Niger,1990,Under-five mortality rate,332
130,Nigeria,1990,Under-five mortality rate,209
131,Niue,1990,Under-five mortality rate,25
132,North Macedonia,1990,Under-five mortality rate,37
133,Norway,1990,Under-five mortality rate,9
134,Oman,1990,Under-five mortality rate,39
135,Pakistan,1990,Under-five mortality rate,140
136,Palau,1990,Under-five mortality rate,35
137,Panama,1990,Under-five mortality rate,31
138,Papua New Guinea,1990,Under-five mortality rate,85
139,Paraguay,1990,Under-five mortality rate,46
140,Peru,1990,Under-five mortality rate,80
141,Philippines,1990,Under-five mortality rate,57
142,Poland,1990,Under-five mortality rate,17
143,Portugal,1990,Under-five mortality rate,15
144,Qatar,1990,Under-five mortality rate,21
145,Republic of Korea,1990,Under-five mortality rate,16
146,Republic of Moldova,1990,Under-five mortality rate,33
147,Romania,1990,Under-five mortality rate,31
148,Russian Federation,1990,Under-five mortality rate,22
149,Rwanda,1990,Under-five mortality rate,150
150,Saint Kitts and Nevis,1990,Under-five mortality rate,30
151,Saint Lucia,1990,Under-five mortality rate,22
152,Saint Vincent and the Grenadines,1990,Under-five mortality rate,24
153,Samoa,1990,Under-five mortality rate,30
154,San Marino,1990,Under-five mortality rate,14
155,Sao Tome and Principe,1990,Under-five mortality rate,109
156,Saudi Arabia,1990,Under-five mortality rate,44
157,Senegal,1990,Under-five mortality rate,139
158,Serbia,1990,Under-five mortality rate,28
159,Seychelles,1990,Under-five mortality rate,16
160,Sierra Leone,1990,Under-five mortality rate,261
161,Singapore,1990,Under-five mortality rate,8
162,Slovakia,1990,Under-five mortality rate,15
163,Slovenia,1990,Under-five mortality rate,10
164,Solomon Islands,1990,Under-five mortality rate,38
165,Somalia,1990,Under-five mortality rate,180
166,South Africa,1990,Under-five mortality rate,62
167,South Sudan,1990,Under-five mortality rate,251
168,Spain,1990,Under-five mortality rate,9
169,Sri Lanka,1990,Under-five mortality rate,23
170,State of Palestine,1990,Under-five mortality rate,45
171,Sudan,1990,Under-five mortality rate,132
172,Suriname,1990,Under-five mortality rate,45
173,Sweden,1990,Under-five mortality rate,7
174,Switzerland,1990,Under-five mortality rate,8
175,Syrian Arab Republic,1990,Under-five mortality rate,37
176,Tajikistan,1990,Under-five mortality rate,103
177,Thailand,1990,Under-five mortality rate,37
178,Timor-Leste,1990,Under-five mortality rate,176
179,Togo,1990,Under-five mortality rate,148
180,Tokelau,1990,Under-five mortality rate,0
181,Tonga,1990,Under-five mortality rate,22
182,Trinidad and Tobago,1990,Under-five mortality rate,30
183,Tunisia,1990,Under-five mortality rate,55
184,Trkiye,1990,Under-five mortality rate,74
185,Turkmenistan,1990,Under-five mortality rate,79
186,Turks and Caicos Islands,1990,Under-five mortality rate,14
187,Tuvalu,1990,Under-five mortality rate,53
188,Uganda,1990,Under-five mortality rate,183
189,Ukraine,1990,Under-five mortality rate,19
190,United Arab Emirates,1990,Under-five mortality rate,17
191,United Kingdom,1990,Under-five mortality rate,9
192,United Republic of Tanzania,1990,Under-five mortality rate,167
193,United States,1990,Under-five mortality rate,11
194,Uruguay,1990,Under-five mortality rate,23
195,Uzbekistan,1990,Under-five mortality rate,70
196,Vanuatu,1990,Under-five mortality rate,36
197,Venezuela (Bolivarian Republic of),1990,Under-five mortality rate,30
198,Viet Nam,1990,Under-five mortality rate,52
199,Yemen,1990,Under-five mortality rate,126
200,Zambia,1990,Under-five mortality rate,182
201,Zimbabwe,1990,Under-five mortality rate,80
202,Afghanistan,2000,Under-five mortality rate,129
203,Albania,2000,Under-five mortality rate,27
204,Algeria,2000,Under-five mortality rate,42
205,Andorra,2000,Under-five mortality rate,8
206,Angola,2000,Under-five mortality rate,205
207,Anguilla,2000,Under-five mortality rate,10
208,Antigua and Barbuda,2000,Under-five mortality rate,16
209,Argentina,2000,Under-five mortality rate,20
210,Armenia,2000,Under-five mortality rate,31
211,Australia,2000,Under-five mortality rate,6
212,Austria,2000,Under-five mortality rate,6
213,Azerbaijan,2000,Under-five mortality rate,75
214,Bahamas,2000,Under-five mortality rate,16
215,Bahrain,2000,Under-five mortality rate,12
216,Bangladesh,2000,Under-five mortality rate,86
217,Barbados,2000,Under-five mortality rate,15
218,Belarus,2000,Under-five mortality rate,13
219,Belgium,2000,Under-five mortality rate,6
220,Belize,2000,Under-five mortality rate,24
221,Benin,2000,Under-five mortality rate,137
222,Bhutan,2000,Under-five mortality rate,77
223,Bolivia (Plurinational State of),2000,Under-five mortality rate,76
224,Bosnia and Herzegovina,2000,Under-five mortality rate,10
225,Botswana,2000,Under-five mortality rate,74
226,Brazil,2000,Under-five mortality rate,35
227,British Virgin Islands,2000,Under-five mortality rate,16
228,Brunei Darussalam,2000,Under-five mortality rate,10
229,Bulgaria,2000,Under-five mortality rate,17
230,Burkina Faso,2000,Under-five mortality rate,179
231,Burundi,2000,Under-five mortality rate,155
232,Cabo Verde,2000,Under-five mortality rate,38
233,Cambodia,2000,Under-five mortality rate,106
234,Cameroon,2000,Under-five mortality rate,144
235,Canada,2000,Under-five mortality rate,6
236,Central African Republic,2000,Under-five mortality rate,166
237,Chad,2000,Under-five mortality rate,184
238,Chile,2000,Under-five mortality rate,11
239,China,2000,Under-five mortality rate,37
240,Colombia,2000,Under-five mortality rate,25
241,Comoros,2000,Under-five mortality rate,96
242,Congo,2000,Under-five mortality rate,114
243,Cook Islands,2000,Under-five mortality rate,18
244,Costa Rica,2000,Under-five mortality rate,13
245,Cte d'Ivoire,2000,Under-five mortality rate,143
246,Croatia,2000,Under-five mortality rate,8
247,Cuba,2000,Under-five mortality rate,9
248,Cyprus,2000,Under-five mortality rate,7
249,Czechia,2000,Under-five mortality rate,5
250,Democratic People's Republic of Korea,2000,Under-five mortality rate,60
251,Democratic Republic of the Congo,2000,Under-five mortality rate,160
252,Denmark,2000,Under-five mortality rate,6
253,Djibouti,2000,Under-five mortality rate,101
254,Dominica,2000,Under-five mortality rate,17
255,Dominican Republic,2000,Under-five mortality rate,40
256,Ecuador,2000,Under-five mortality rate,30
257,Egypt,2000,Under-five mortality rate,47
258,El Salvador,2000,Under-five mortality rate,33
259,Equatorial Guinea,2000,Under-five mortality rate,156
260,Eritrea,2000,Under-five mortality rate,85
261,Estonia,2000,Under-five mortality rate,11
262,Eswatini,2000,Under-five mortality rate,112
263,Ethiopia,2000,Under-five mortality rate,140
264,Fiji,2000,Under-five mortality rate,23
265,Finland,2000,Under-five mortality rate,4
266,France,2000,Under-five mortality rate,5
267,Gabon,2000,Under-five mortality rate,84
268,Gambia,2000,Under-five mortality rate,114
269,Georgia,2000,Under-five mortality rate,37
270,Germany,2000,Under-five mortality rate,5
271,Ghana,2000,Under-five mortality rate,100
272,Greece,2000,Under-five mortality rate,6
273,Grenada,2000,Under-five mortality rate,15
274,Guatemala,2000,Under-five mortality rate,52
275,Guinea,2000,Under-five mortality rate,166
276,Guinea-Bissau,2000,Under-five mortality rate,174
277,Guyana,2000,Under-five mortality rate,47
278,Haiti,2000,Under-five mortality rate,104
279,Holy See,2000,Under-five mortality rate,0
280,Honduras,2000,Under-five mortality rate,37
281,Hungary,2000,Under-five mortality rate,10
282,Iceland,2000,Under-five mortality rate,4
283,India,2000,Under-five mortality rate,92
284,Indonesia,2000,Under-five mortality rate,52
285,Iran (Islamic Republic of),2000,Under-five mortality rate,36
286,Iraq,2000,Under-five mortality rate,44
287,Ireland,2000,Under-five mortality rate,7
288,Israel,2000,Under-five mortality rate,7
289,Italy,2000,Under-five mortality rate,6
290,Jamaica,2000,Under-five mortality rate,21
291,Japan,2000,Under-five mortality rate,5
292,Jordan,2000,Under-five mortality rate,27
293,Kazakhstan,2000,Under-five mortality rate,43
294,Kenya,2000,Under-five mortality rate,99
295,Kiribati,2000,Under-five mortality rate,68
296,Kuwait,2000,Under-five mortality rate,13
297,Kyrgyzstan,2000,Under-five mortality rate,50
298,Lao People's Democratic Republic,2000,Under-five mortality rate,107
299,Latvia,2000,Under-five mortality rate,14
300,Lebanon,2000,Under-five mortality rate,20
301,Lesotho,2000,Under-five mortality rate,107
302,Liberia,2000,Under-five mortality rate,189
303,Libya,2000,Under-five mortality rate,28
304,Liechtenstein,2000,Under-five mortality rate,0
305,Lithuania,2000,Under-five mortality rate,11
306,Luxembourg,2000,Under-five mortality rate,5
307,Madagascar,2000,Under-five mortality rate,105
308,Malawi,2000,Under-five mortality rate,174
309,Malaysia,2000,Under-five mortality rate,10
310,Maldives,2000,Under-five mortality rate,39
311,Mali,2000,Under-five mortality rate,188
312,Malta,2000,Under-five mortality rate,8
313,Marshall Islands,2000,Under-five mortality rate,42
314,Mauritania,2000,Under-five mortality rate,99
315,Mauritius,2000,Under-five mortality rate,19
316,Mexico,2000,Under-five mortality rate,28
317,Micronesia (Federated States of),2000,Under-five mortality rate,38
318,Monaco,2000,Under-five mortality rate,5
319,Mongolia,2000,Under-five mortality rate,64
320,Montenegro,2000,Under-five mortality rate,14
321,Montserrat,2000,Under-five mortality rate,11
322,Morocco,2000,Under-five mortality rate,52
323,Mozambique,2000,Under-five mortality rate,171
324,Myanmar,2000,Under-five mortality rate,89
325,Namibia,2000,Under-five mortality rate,77
326,Nauru,2000,Under-five mortality rate,43
327,Nepal,2000,Under-five mortality rate,79
328,Netherlands,2000,Under-five mortality rate,6
329,New Zealand,2000,Under-five mortality rate,7
330,Nicaragua,2000,Under-five mortality rate,39
331,Niger,2000,Under-five mortality rate,229
332,Nigeria,2000,Under-five mortality rate,182
333,Niue,2000,Under-five mortality rate,32
334,North Macedonia,2000,Under-five mortality rate,16
335,Norway,2000,Under-five mortality rate,5
336,Oman,2000,Under-five mortality rate,16
337,Pakistan,2000,Under-five mortality rate,108
338,Palau,2000,Under-five mortality rate,28
339,Panama,2000,Under-five mortality rate,26
340,Papua New Guinea,2000,Under-five mortality rate,71
341,Paraguay,2000,Under-five mortality rate,34
342,Peru,2000,Under-five mortality rate,38
343,Philippines,2000,Under-five mortality rate,38
344,Poland,2000,Under-five mortality rate,9
345,Portugal,2000,Under-five mortality rate,7
346,Qatar,2000,Under-five mortality rate,12
347,Republic of Korea,2000,Under-five mortality rate,8
348,Republic of Moldova,2000,Under-five mortality rate,31
349,Romania,2000,Under-five mortality rate,21
350,Russian Federation,2000,Under-five mortality rate,19
351,Rwanda,2000,Under-five mortality rate,185
352,Saint Kitts and Nevis,2000,Under-five mortality rate,24
353,Saint Lucia,2000,Under-five mortality rate,18
354,Saint Vincent and the Grenadines,2000,Under-five mortality rate,22
355,Samoa,2000,Under-five mortality rate,21
356,San Marino,2000,Under-five mortality rate,6
357,Sao Tome and Principe,2000,Under-five mortality rate,82
358,Saudi Arabia,2000,Under-five mortality rate,22
359,Senegal,2000,Under-five mortality rate,130
360,Serbia,2000,Under-five mortality rate,13
361,Seychelles,2000,Under-five mortality rate,14
362,Sierra Leone,2000,Under-five mortality rate,226
363,Singapore,2000,Under-five mortality rate,4
364,Slovakia,2000,Under-five mortality rate,10
365,Slovenia,2000,Under-five mortality rate,5
366,Solomon Islands,2000,Under-five mortality rate,31
367,Somalia,2000,Under-five mortality rate,173
368,South Africa,2000,Under-five mortality rate,71
369,South Sudan,2000,Under-five mortality rate,182
370,Spain,2000,Under-five mortality rate,5
371,Sri Lanka,2000,Under-five mortality rate,17
372,State of Palestine,2000,Under-five mortality rate,30
373,Sudan,2000,Under-five mortality rate,104
374,Suriname,2000,Under-five mortality rate,31
375,Sweden,2000,Under-five mortality rate,4
376,Switzerland,2000,Under-five mortality rate,6
377,Syrian Arab Republic,2000,Under-five mortality rate,23
378,Tajikistan,2000,Under-five mortality rate,84
379,Thailand,2000,Under-five mortality rate,22
380,Timor-Leste,2000,Under-five mortality rate,111
381,Togo,2000,Under-five mortality rate,120
382,Tokelau,2000,Under-five mortality rate,0
383,Tonga,2000,Under-five mortality rate,17
384,Trinidad and Tobago,2000,Under-five mortality rate,28
385,Tunisia,2000,Under-five mortality rate,30
386,Trkiye,2000,Under-five mortality rate,38
387,Turkmenistan,2000,Under-five mortality rate,70
388,Turks and Caicos Islands,2000,Under-five mortality rate,9
389,Tuvalu,2000,Under-five mortality rate,42
390,Uganda,2000,Under-five mortality rate,146
391,Ukraine,2000,Under-five mortality rate,18
392,United Arab Emirates,2000,Under-five mortality rate,11
393,United Kingdom,2000,Under-five mortality rate,7
394,United Republic of Tanzania,2000,Under-five mortality rate,130
395,United States,2000,Under-five mortality rate,8
396,Uruguay,2000,Under-five mortality rate,17
397,Uzbekistan,2000,Under-five mortality rate,61
398,Vanuatu,2000,Under-five mortality rate,29
399,Venezuela (Bolivarian Republic of),2000,Under-five mortality rate,22
400,Viet Nam,2000,Under-five mortality rate,30
401,Yemen,2000,Under-five mortality rate,95
402,Zambia,2000,Under-five mortality rate,156
403,Zimbabwe,2000,Under-five mortality rate,96
404,Afghanistan,2021,Under-five mortality rate,56
405,Albania,2021,Under-five mortality rate,9
406,Algeria,2021,Under-five mortality rate,22
407,Andorra,2021,Under-five mortality rate,3
408,Angola,2021,Under-five mortality rate,69
409,Anguilla,2021,Under-five mortality rate,4
410,Antigua and Barbuda,2021,Under-five mortality rate,6
411,Argentina,2021,Under-five mortality rate,7
412,Armenia,2021,Under-five mortality rate,11
413,Australia,2021,Under-five mortality rate,4
414,Austria,2021,Under-five mortality rate,4
415,Azerbaijan,2021,Under-five mortality rate,19
416,Bahamas,2021,Under-five mortality rate,13
417,Bahrain,2021,Under-five mortality rate,7
418,Bangladesh,2021,Under-five mortality rate,27
419,Barbados,2021,Under-five mortality rate,12
420,Belarus,2021,Under-five mortality rate,3
421,Belgium,2021,Under-five mortality rate,4
422,Belize,2021,Under-five mortality rate,11
423,Benin,2021,Under-five mortality rate,84
424,Bhutan,2021,Under-five mortality rate,27
425,Bolivia (Plurinational State of),2021,Under-five mortality rate,25
426,Bosnia and Herzegovina,2021,Under-five mortality rate,6
427,Botswana,2021,Under-five mortality rate,35
428,Brazil,2021,Under-five mortality rate,14
429,British Virgin Islands,2021,Under-five mortality rate,10
430,Brunei Darussalam,2021,Under-five mortality rate,11
431,Bulgaria,2021,Under-five mortality rate,6
432,Burkina Faso,2021,Under-five mortality rate,83
433,Burundi,2021,Under-five mortality rate,53
434,Cabo Verde,2021,Under-five mortality rate,14
435,Cambodia,2021,Under-five mortality rate,25
436,Cameroon,2021,Under-five mortality rate,70
437,Canada,2021,Under-five mortality rate,5
438,Central African Republic,2021,Under-five mortality rate,100
439,Chad,2021,Under-five mortality rate,107
440,Chile,2021,Under-five mortality rate,7
441,China,2021,Under-five mortality rate,7
442,Colombia,2021,Under-five mortality rate,13
443,Comoros,2021,Under-five mortality rate,50
444,Congo,2021,Under-five mortality rate,43
445,Cook Islands,2021,Under-five mortality rate,7
446,Costa Rica,2021,Under-five mortality rate,8
447,Cte d'Ivoire,2021,Under-five mortality rate,75
448,Croatia,2021,Under-five mortality rate,5
449,Cuba,2021,Under-five mortality rate,5
450,Cyprus,2021,Under-five mortality rate,3
451,Czechia,2021,Under-five mortality rate,3
452,Democratic People's Republic of Korea,2021,Under-five mortality rate,15
453,Democratic Republic of the Congo,2021,Under-five mortality rate,79
454,Denmark,2021,Under-five mortality rate,4
455,Djibouti,2021,Under-five mortality rate,54
456,Dominica,2021,Under-five mortality rate,36
457,Dominican Republic,2021,Under-five mortality rate,33
458,Ecuador,2021,Under-five mortality rate,12
459,Egypt,2021,Under-five mortality rate,19
460,El Salvador,2021,Under-five mortality rate,12
461,Equatorial Guinea,2021,Under-five mortality rate,77
462,Eritrea,2021,Under-five mortality rate,38
463,Estonia,2021,Under-five mortality rate,2
464,Eswatini,2021,Under-five mortality rate,53
465,Ethiopia,2021,Under-five mortality rate,47
466,Fiji,2021,Under-five mortality rate,28
467,Finland,2021,Under-five mortality rate,2
468,France,2021,Under-five mortality rate,4
469,Gabon,2021,Under-five mortality rate,40
470,Gambia,2021,Under-five mortality rate,48
471,Georgia,2021,Under-five mortality rate,9
472,Germany,2021,Under-five mortality rate,4
473,Ghana,2021,Under-five mortality rate,44
474,Greece,2021,Under-five mortality rate,4
475,Grenada,2021,Under-five mortality rate,16
476,Guatemala,2021,Under-five mortality rate,23
477,Guinea,2021,Under-five mortality rate,99
478,Guinea-Bissau,2021,Under-five mortality rate,74
479,Guyana,2021,Under-five mortality rate,28
480,Haiti,2021,Under-five mortality rate,59
481,Holy See,2021,Under-five mortality rate,0
482,Honduras,2021,Under-five mortality rate,17
483,Hungary,2021,Under-five mortality rate,4
484,Iceland,2021,Under-five mortality rate,3
485,India,2021,Under-five mortality rate,31
